product_barcode,product_id,sum_src,support,industry_id,province
88095,43856,1,1.0,2,Hồ Chí Minh
8809480771484,19061,1,1.0,2,Hồ Chí Minh
11111111123,36889,5,1.0,2,Hồ Chí Minh
4909978146481,14626,1,1.0,2,Hồ Chí Minh
SP0009875,40746,2,1.0,2,Hồ Chí Minh
9876,48258,1,1.0,2,Hồ Chí Minh
8938510523226,16679,1,1.0,2,Hồ Chí Minh
3337875482585,15657,1,1.0,2,Hồ Chí Minh
8935006537330,18552,1,1.0,2,Hồ Chí Minh
0667553434296,31728,2,1.0,2,Hồ Chí Minh
8935006536180,18706,1,1.0,2,Hồ Chí Minh
8885014890166,13469,4,0.8,2,Hồ Chí Minh
8885014890166,60470,1,0.2,2,Hồ Chí Minh
9555250025583,19284,3,1.0,2,Hồ Chí Minh
8858842024744,19585,3,1.0,2,Hồ Chí Minh
4017100107214,38200,1,1.0,2,Hồ Chí Minh
0655439013505,13963,10,1.0,2,Hồ Chí Minh
1122,48222,2,1.0,2,Hồ Chí Minh
4901696536407,20517,7,0.3181818181818182,2,Hồ Chí Minh
4901696536407,57740,1,0.045454545454545456,2,Hồ Chí Minh
4901696536407,53075,1,0.045454545454545456,2,Hồ Chí Minh
4901696536407,44634,5,0.22727272727272727,2,Hồ Chí Minh
4901696536407,36892,6,0.2727272727272727,2,Hồ Chí Minh
4901696536407,40991,2,0.09090909090909091,2,Hồ Chí Minh
22222,63019,1,1.0,2,Hồ Chí Minh
8809653242735,37029,1,1.0,2,Hồ Chí Minh
8806164171042,16769,12,0.631578947368421,2,Hồ Chí Minh
8806164171042,16586,1,0.05263157894736842,2,Hồ Chí Minh
8806164171042,38741,4,0.21052631578947367,2,Hồ Chí Minh
8806164171042,32583,2,0.10526315789473684,2,Hồ Chí Minh
4515061186342,20554,2,1.0,2,Hồ Chí Minh
8809213806414,35278,2,1.0,2,Hồ Chí Minh
0655439020169,13902,66,0.9705882352941176,2,Hồ Chí Minh
0655439020169,40966,2,0.029411764705882353,2,Hồ Chí Minh
4987072070352,41177,2,1.0,2,Hồ Chí Minh
8809664983145,58182,2,1.0,2,Hồ Chí Minh
8809409342160,32090,4,1.0,2,Hồ Chí Minh
8935006537705,18561,2,1.0,2,Hồ Chí Minh
8936104220766,18949,11,0.4230769230769231,2,Hồ Chí Minh
8936104220766,18950,14,0.5384615384615384,2,Hồ Chí Minh
8936104220766,65949,1,0.038461538461538464,2,Hồ Chí Minh
8935236000239,15250,1,1.0,2,Hồ Chí Minh
8809581074767,20594,1,1.0,2,Hồ Chí Minh
8885014890623,13481,1,1.0,2,Hồ Chí Minh
8809500670773,42873,3,1.0,2,Hồ Chí Minh
3282770204681,40465,2,1.0,2,Hồ Chí Minh
8809615052723,36262,1,1.0,2,Hồ Chí Minh
8809652907376,33072,1,1.0,2,Hồ Chí Minh
8938510523035,15624,1,1.0,2,Hồ Chí Minh
01165897948,67418,1,1.0,2,Hồ Chí Minh
00015,49143,1,1.0,2,Hồ Chí Minh
3504105028398,15171,1,1.0,2,Hồ Chí Minh
8806164171356,20430,1,1.0,2,Hồ Chí Minh
CERAVE,60110,1,1.0,2,Hồ Chí Minh
3433422405332,15659,1,0.5,2,Hồ Chí Minh
3433422405332,14499,1,0.5,2,Hồ Chí Minh
6955048507957,52720,1,1.0,2,Hồ Chí Minh
016185128965,50670,1,1.0,2,Hồ Chí Minh
4567,40889,8,0.8,2,Hồ Chí Minh
4567,48423,2,0.2,2,Hồ Chí Minh
GIFTINNERB26052021,37759,7,1.0,2,Hồ Chí Minh
96619982110,47660,4,1.0,2,Hồ Chí Minh
5010724525944,34909,4,1.0,2,Hồ Chí Minh
3337875522601,15651,5,0.625,2,Hồ Chí Minh
3337875522601,32454,2,0.25,2,Hồ Chí Minh
3337875522601,40431,1,0.125,2,Hồ Chí Minh
8936032232008,18897,11,1.0,2,Hồ Chí Minh
EUR00097,38620,2,1.0,2,Hồ Chí Minh
6849198156,66838,1,1.0,2,Hồ Chí Minh
3600541410053,49497,2,1.0,2,Hồ Chí Minh
0067,20782,1,1.0,2,Hồ Chí Minh
5901761955286,19429,1,1.0,2,Hồ Chí Minh
4971493201983,34448,1,1.0,2,Hồ Chí Minh
8809115024046,59130,1,0.5,2,Hồ Chí Minh
8809115024046,46395,1,0.5,2,Hồ Chí Minh
0655439020404,13933,2,1.0,2,Hồ Chí Minh
8935006531956,18548,1,1.0,2,Hồ Chí Minh
8809426959389,19046,1,1.0,2,Hồ Chí Minh
4987241143696,18637,3,1.0,2,Hồ Chí Minh
